1630589184.9780147,3838.0,661.0
1630589185.8426406,3.0,836.0,662.0
1630589186.0429482,836.0,837.0,663.0
1630589186.2530587,837.0,837.0,662.0
1630589186.4700682,834.0,837.0,661.0
1630589186.687308,837.0,837.0,664.0
1630589186.9031775,841.0,837.0,660.0
1630589187.1041682,838.0,837.0,660.0
1630589187.3057065,833.0,836.0,665.0
1630589187.5055778,843.0,838.0,662.0
1630589187.705312,837.0,838.0,661.0
1630589187.9549232,835.0,167.0,658.0
1630589188.2661667,843.0,335.0,662.0
1630589188.577332,832.0,502.0,661.0
1630589188.8888428,834.0,668.0,661.0
1630589189.2001424,830.0,834.0,662.0
1630589189.5114903,834.0,834.0,662.0
1630589189.8227627,837.0,833.0,660.0
1630589190.1341832,839.0,834.0,662.0
1630589190.445204,837.0,835.0,662.0
1630589190.756569,833.0,836.0,661.0
1630589191.067753,836.0,836.0,661.0
1630589191.3831744,837.0,836.0,660.0
1630589191.6944487,842.0,837.0,662.0
1630589192.0059016,840.0,837.0,662.0
1630589192.3170211,842.0,839.0,663.0
1630589192.6285152,841.0,840.0,663.0
1630589192.9397867,838.0,840.0,663.0
1630589193.251227,832.0,838.0,662.0
1630589193.5634673,834.0,837.0,661.0
1630589193.873971,836.0,836.0,661.0
1630589194.185116,835.0,835.0,660.0
1630589194.4962168,836.0,834.0,661.0
1630589194.8118432,836.0,835.0,662.0
1630589195.123153,836.0,835.0,664.0
1630589195.4343104,836.0,835.0,666.0
1630589195.745548,834.0,835.0,665.0
1630589196.0571315,836.0,835.0,660.0
1630589196.3683732,838.0,836.0,661.0
1630589196.679815,841.0,837.0,661.0
1630589196.9910998,842.0,838.0,663.0
1630589197.302424,843.0,840.0,662.0
1630589197.613614,837.0,840.0,662.0
1630589197.9250114,833.0,839.0,661.0
1630589198.2362638,836.0,838.0,661.0
1630589198.5515914,834.0,836.0,662.0
1630589198.8628783,836.0,835.0,665.0
1630589199.1741245,837.0,835.0,663.0
1630589199.4856455,837.0,836.0,662.0
1630589199.7970648,837.0,836.0,662.0
1630589200.1078722,835.0,836.0,661.0
1630589200.4192364,837.0,836.0,660.0
1630589200.7306967,840.0,837.0,661.0
1630589201.0420651,832.0,836.0,661.0
1630589201.3533137,836.0,836.0,661.0
1630589201.6648061,836.0,836.0,662.0
1630589201.9801261,833.0,835.0,663.0
1630589202.2913177,836.0,834.0,663.0
1630589202.602889,839.0,836.0,667.0
1630589202.9139426,837.0,836.0,666.0
1630589203.2252758,836.0,836.0,661.0
1630589203.5366387,842.0,838.0,661.0
1630589203.8478837,838.0,838.0,662.0
1630589204.1593823,832.0,837.0,661.0
1630589204.470527,838.0,837.0,662.0
1630589204.7820969,837.0,837.0,662.0
1630589205.0931907,835.0,836.0,663.0
1630589205.4046228,837.0,835.0,663.0
1630589205.720033,833.0,836.0,662.0
1630589206.0312872,833.0,835.0,662.0
1630589206.342392,837.0,835.0,662.0
1630589206.653597,837.0,835.0,663.0
1630589206.9652085,836.0,835.0,666.0
1630589207.2764037,836.0,835.0,662.0
1630589207.5877824,833.0,835.0,662.0
1630589207.8991802,834.0,835.0,661.0
1630589208.210521,838.0,835.0,662.0
1630589208.5217419,840.0,836.0,663.0
1630589208.8331356,834.0,835.0,661.0
1630589209.1443052,838.0,836.0,661.0
1630589209.4596984,835.0,837.0,658.0
1630589209.7710688,837.0,836.0,660.0
1630589210.0823529,840.0,836.0,663.0
1630589210.3937674,832.0,836.0,662.0
1630589210.7051244,839.0,836.0,661.0
1630589211.0164142,839.0,837.0,663.0
1630589211.327679,835.0,837.0,664.0
1630589211.6388764,837.0,836.0,661.0
1630589211.9503024,843.0,838.0,662.0
1630589212.261659,834.0,837.0,658.0
1630589212.57291,831.0,836.0,665.0
1630589212.8882582,839.0,836.0,661.0
1630589213.1993651,832.0,835.0,661.0
1630589213.51071,835.0,834.0,662.0
1630589213.8222141,836.0,834.0,663.0
1630589214.1333272,838.0,836.0,661.0
1630589214.444749,836.0,835.0,662.0
1630589214.756278,836.0,836.0,659.0
1630589215.0672328,838.0,836.0,662.0
1630589215.378479,838.0,837.0,661.0
1630589215.6899064,837.0,837.0,661.0
1630589216.0017612,835.0,836.0,663.0
1630589216.3126533,843.0,838.0,663.0
1630589216.6278327,835.0,837.0,660.0
1630589216.9394777,837.0,837.0,666.0
1630589217.250404,836.0,837.0,662.0
1630589217.562259,833.0,836.0,665.0
1630589217.8731344,835.0,835.0,659.0
1630589218.184717,830.0,834.0,661.0
1630589218.4960241,835.0,833.0,661.0
1630589218.8070323,837.0,834.0,665.0
1630589219.1183312,836.0,834.0,660.0
1630589219.4296422,843.0,836.0,662.0
1630589219.7411208,834.0,837.0,662.0
1630589220.056603,835.0,837.0,662.0
1630589220.3675983,831.0,835.0,662.0
1630589220.6789186,838.0,836.0,662.0
1630589220.990519,839.0,835.0,660.0
1630589221.301628,837.0,836.0,663.0
1630589221.6129296,835.0,836.0,662.0
1630589221.924247,835.0,836.0,665.0
1630589222.2359061,835.0,836.0,660.0
1630589222.546923,841.0,836.0,662.0
1630589222.8581724,837.0,836.0,663.0
1630589223.1694953,835.0,836.0,665.0
1630589223.4809794,841.0,837.0,661.0
1630589223.7961357,834.0,837.0,661.0
1630589224.1080387,836.0,836.0,661.0
1630589224.418681,836.0,836.0,660.0
1630589224.7301793,834.0,836.0,662.0
1630589225.0414648,836.0,835.0,661.0
1630589225.3525996,837.0,835.0,663.0
1630589225.664036,837.0,836.0,662.0
1630589225.9754028,837.0,836.0,663.0
1630589226.2867994,839.0,837.0,661.0
1630589226.5985162,833.0,836.0,665.0
1630589226.9094467,838.0,836.0,658.0
1630589227.224886,835.0,836.0,662.0
1630589227.536204,839.0,836.0,662.0
1630589227.8472545,837.0,836.0,664.0
1630589228.1586113,835.0,836.0,662.0
1630589228.4701416,832.0,835.0,663.0
1630589228.781454,835.0,835.0,662.0
1630589229.092661,833.0,834.0,664.0
1630589229.4037957,836.0,834.0,661.0
1630589229.7151508,842.0,835.0,662.0
1630589230.0263896,836.0,836.0,661.0
1630589230.3378007,841.0,837.0,663.0
1630589230.6491344,836.0,838.0,660.0
1630589230.9643443,834.0,837.0,663.0
1630589231.2756963,836.0,836.0,663.0
1630589231.5870395,836.0,836.0,664.0
1630589231.8982975,832.0,834.0,661.0
1630589232.2096653,836.0,834.0,661.0
1630589232.521048,835.0,835.0,661.0
1630589232.8322382,837.0,835.0,664.0
1630589233.143914,842.0,836.0,661.0
1630589233.4552217,832.0,836.0,663.0
1630589233.7666028,839.0,837.0,663.0
1630589234.0779526,833.0,836.0,663.0
1630589234.389222,838.0,836.0,660.0
1630589234.7044454,833.0,835.0,663.0
1630589235.0158083,836.0,835.0,661.0
1630589235.3270736,833.0,834.0,662.0
1630589235.6382337,836.0,835.0,660.0
1630589235.9496834,842.0,836.0,663.0
1630589236.2611141,836.0,836.0,662.0
1630589236.5722508,838.0,837.0,663.0
1630589236.8835192,835.0,837.0,667.0
1630589237.1948185,840.0,838.0,662.0
1630589237.5062914,834.0,836.0,661.0
1630589237.8176823,835.0,836.0,661.0
1630589238.1330035,837.0,836.0,665.0
1630589238.444271,837.0,836.0,660.0
1630589238.7555263,838.0,836.0,662.0
1630589239.0669498,837.0,836.0,660.0
1630589239.378231,833.0,836.0,667.0
1630589239.6893642,837.0,836.0,663.0
1630589240.000704,838.0,836.0,661.0
1630589240.311955,843.0,837.0,662.0
1630589240.6235807,834.0,837.0,661.0
1630589240.9348989,837.0,837.0,661.0
1630589241.2461085,837.0,837.0,665.0
1630589241.5573263,835.0,837.0,660.0
1630589241.8727214,840.0,836.0,663.0
1630589242.183783,836.0,837.0,663.0
1630589242.495406,839.0,837.0,662.0
1630589242.806449,833.0,836.0,665.0
1630589243.118093,835.0,836.0,658.0
1630589243.4291506,841.0,836.0,662.0
1630589243.7408526,838.0,837.0,661.0
1630589244.051834,842.0,837.0,663.0
1630589244.3632576,838.0,838.0,661.0
1630589244.6745982,836.0,839.0,662.0
1630589244.9860063,837.0,838.0,666.0
1630589245.3012137,836.0,837.0,661.0
1630589245.6126256,833.0,836.0,662.0
1630589245.923815,838.0,836.0,660.0
1630589246.2350125,832.0,835.0,661.0
1630589246.546484,836.0,835.0,662.0
1630589246.857638,836.0,835.0,664.0
1630589247.16925,836.0,835.0,663.0
1630589247.4805274,835.0,835.0,663.0
1630589247.791779,837.0,836.0,667.0
1630589248.1030617,833.0,835.0,661.0
1630589248.4142234,837.0,835.0,661.0
1630589248.725625,836.0,835.0,661.0
1630589249.0410888,833.0,835.0,666.0
1630589249.3524096,842.0,836.0,662.0
1630589249.663693,836.0,836.0,662.0
1630589249.9750419,839.0,837.0,663.0
1630589250.2863982,837.0,837.0,666.0
1630589250.5975401,838.0,838.0,660.0
1630589250.9087574,832.0,836.0,661.0
1630589251.2202473,839.0,837.0,662.0
1630589251.5315158,837.0,836.0,666.0
1630589251.8430026,843.0,837.0,662.0
1630589252.154289,834.0,837.0,663.0
1630589252.4654841,837.0,838.0,665.0
1630589252.7806094,837.0,837.0,664.0
1630589253.0918748,838.0,837.0,662.0
1630589253.4031656,835.0,836.0,663.0
1630589253.7145724,834.0,836.0,661.0
1630589254.0310283,837.0,836.0,662.0
1630589254.337443,836.0,836.0,662.0
1630589254.6485589,837.0,835.0,662.0
1630589254.9619281,838.0,836.0,660.0
1630589255.2711236,834.0,836.0,663.0
1630589255.5824745,838.0,836.0,662.0
1630589255.8938425,836.0,836.0,666.0
1630589256.2091336,840.0,837.0,660.0
1630589256.5204144,836.0,836.0,661.0
1630589256.831703,843.0,838.0,662.0
1630589257.1432447,846.0,840.0,663.0
1630589257.45461,837.0,840.0,663.0
1630589257.7660747,834.0,839.0,663.0
1630589258.0772977,837.0,839.0,663.0
1630589258.3886259,837.0,838.0,663.0
1630589258.6997166,843.0,837.0,662.0
1630589259.0111234,838.0,837.0,661.0
1630589259.3225458,836.0,838.0,661.0
1630589259.6340137,837.0,838.0,660.0
1630589259.9491463,843.0,839.0,663.0
1630589260.260507,838.0,838.0,663.0
1630589260.5717816,833.0,837.0,663.0
1630589260.8831127,835.0,837.0,660.0
1630589261.1942399,834.0,836.0,662.0
1630589261.5057712,839.0,835.0,661.0
1630589261.8169622,838.0,835.0,661.0
1630589262.1284735,834.0,836.0,662.0
1630589262.4397914,839.0,836.0,663.0
1630589262.7508328,837.0,837.0,667.0
1630589263.062014,843.0,838.0,663.0
1630589263.3773694,835.0,837.0,667.0
1630589263.6890132,835.0,837.0,660.0
1630589264.000163,832.0,836.0,661.0
1630589264.3116667,837.0,836.0,661.0
1630589264.6229656,837.0,835.0,666.0
1630589264.9343343,837.0,835.0,660.0
1630589265.245379,840.0,836.0,663.0
1630589265.556761,839.0,838.0,663.0
1630589265.868241,836.0,837.0,666.0
1630589266.1795719,837.0,837.0,663.0
1630589266.490852,838.0,838.0,661.0
1630589266.8020687,837.0,837.0,663.0
1630589267.1174512,838.0,837.0,660.0
1630589267.4287171,838.0,837.0,661.0
1630589267.7400663,837.0,837.0,663.0
1630589268.051386,839.0,837.0,662.0
1630589268.3627503,834.0,837.0,663.0
1630589268.6741753,837.0,837.0,662.0
1630589268.9853852,836.0,836.0,660.0
1630589269.296648,836.0,836.0,661.0
1630589269.6078856,838.0,836.0,662.0
1630589269.919373,836.0,836.0,667.0
1630589270.2305274,843.0,837.0,662.0
1630589270.546063,839.0,838.0,660.0
1630589270.8571818,837.0,838.0,662.0
